sample_index,sample_token,depth_source,pseudo_points,lidar_points,pseudo_to_gt_mean_nn,pseudo_to_gt_median_nn,pseudo_to_gt_p90_nn,pseudo_to_gt_p95_nn,gt_to_pseudo_mean_nn,gt_to_pseudo_median_nn,gt_to_pseudo_p90_nn,gt_to_pseudo_p95_nn,bev_iou
0,ca9a282c9e77460f8360f564131a8af5,depth_pro,14156,21992,0.7261050343513489,0.5051941871643066,1.5779455304145813,2.1537711024284363,1.2871568202972412,0.7926781177520752,3.4653812885284427,4.495318412780762,0.2273826802128689
0,ca9a282c9e77460f8360f564131a8af5,refined,17113,21992,0.6698864698410034,0.46110567450523376,1.4430919170379644,2.0323417186737056,1.1617518663406372,0.6838712096214294,3.1163174629211436,4.193840026855469,0.2193969396939694
1,39586f9d59004284a7114a68825e8eec,depth_pro,14116,22158,0.7614215612411499,0.5035228729248047,1.749679446220398,2.366680145263672,1.3247212171554565,0.9057371616363525,3.1551264762878413,3.8346869945526123,0.242771555092472
1,39586f9d59004284a7114a68825e8eec,refined,16535,22158,0.6497478485107422,0.417354941368103,1.5199846744537353,2.064283919334411,1.185459017753601,0.7857320308685303,2.9032463550567624,3.7738494873046875,0.23257520176082172
2,356d81f38dd9473ba590f39e266f54e5,depth_pro,12407,22558,0.777683436870575,0.515702486038208,1.8450247287750243,2.343391227722168,1.2064485549926758,0.7849526405334473,3.2415553569793696,3.4180712699890137,0.21568627450980393
2,356d81f38dd9473ba590f39e266f54e5,refined,16906,22558,0.5634023547172546,0.37465840578079224,1.2618507742881775,1.8178958296775818,1.0034023523330688,0.6043573021888733,2.7617380619049072,3.3198721408843994,0.23714670255720055
3,e0845f5322254dafadbbed75aaa07969,depth_pro,11603,23037,0.8102541565895081,0.45163965225219727,2.103987550735474,2.7884567499160764,0.9997324347496033,0.5265594124794006,2.9252090454101562,2.9363448143005373,0.21825629022820361
3,e0845f5322254dafadbbed75aaa07969,refined,14486,23037,0.6184301376342773,0.3753162622451782,1.4222490191459656,2.1283915042877197,0.9207417964935303,0.47394096851348877,2.805722045898438,2.937967300415039,0.21317299808690898
4,c923fe08b2ff4e27975d2bf30934383b,depth_pro,10695,23417,0.8024964332580566,0.4274241328239441,1.9394596576690675,2.601652789115905,1.0242183208465576,0.5614615678787231,2.9167304039001465,2.93074631690979,0.20572764465225016
4,c923fe08b2ff4e27975d2bf30934383b,refined,14427,23417,0.6076858639717102,0.36318522691726685,1.3974671363830564,2.063639664649961,0.9805267453193665,0.5927581787109375,2.916581392288208,2.929436683654785,0.22508398656215006
5,f1e3d9d08f044c439ce86a2d6fcca57b,depth_pro,13034,23471,0.7771652936935425,0.4127988815307617,1.9934256196022035,2.649899959564208,1.249495029449463,0.6438290476799011,3.718317985534668,3.732938528060913,0.2317862165963432
5,f1e3d9d08f044c439ce86a2d6fcca57b,refined,17878,23471,0.6104087829589844,0.4029316306114197,1.3425759077072146,1.897894120216367,1.0459473133087158,0.5910233855247498,2.970097780227661,2.9822425842285156,0.2334264668529337
6,4f545737bf3347fbbc9af60b0be9a963,depth_pro,14506,23059,0.8277408480644226,0.5174977779388428,1.9642974734306335,2.4965215921401978,1.3919261693954468,0.7520160675048828,4.707101726531983,4.726024627685547,0.24309691391445587
6,4f545737bf3347fbbc9af60b0be9a963,refined,19355,23059,0.6496198177337646,0.4080367088317871,1.5263449668884286,2.0444339752197265,1.1165744066238403,0.5665379166603088,3.6957356929779053,3.7065515518188477,0.2443035001174536
7,7626dde27d604ac28a0240bdd54eba7a,depth_pro,15124,23212,0.8735142350196838,0.5875221490859985,2.0317818880081178,2.783303177356718,1.4802095890045166,0.8029038906097412,4.764210224151611,4.80454683303833,0.2568951930654058
7,7626dde27d604ac28a0240bdd54eba7a,refined,18862,23212,0.6545678377151489,0.39943891763687134,1.6153539180755616,2.1556265711784364,1.1351836919784546,0.6267380714416504,3.2683019638061523,3.2786450386047363,0.2655147237770747
8,be99ffc878b24aca8956bbb4e0f97d0c,depth_pro,15446,23317,0.8436456918716431,0.6503587961196899,1.7152944207191467,2.2040228247642517,1.438530683517456,0.8135626912117004,4.64522123336792,4.684876441955566,0.24324324324324326
8,be99ffc878b24aca8956bbb4e0f97d0c,refined,18679,23317,0.7067237496376038,0.49508070945739746,1.5581724166870117,1.9820151329040523,1.1660058498382568,0.6673807501792908,3.5984079837799072,3.6165530681610107,0.26063224926085965
9,9813c23a5f1448b09bb7910fea9baf20,depth_pro,15263,23420,0.7407776117324829,0.464835524559021,1.7517603397369386,2.210430288314819,1.4183961153030396,0.8463008403778076,4.497072696685791,4.535076141357422,0.2572997254804093
9,9813c23a5f1448b09bb7910fea9baf20,refined,17479,23420,0.7348782420158386,0.46439340710639954,1.7680987119674683,2.0777215957641593,1.388653039932251,0.7540806531906128,4.835009574890137,4.874062538146973,0.2601700758446334
10,023c4df2d451409881d8e6ea82f14704,depth_pro,14423,23518,0.775564968585968,0.5015971064567566,1.8553003549575808,2.188164114952087,1.404538869857788,0.796558141708374,4.395654678344727,4.434987115859985,0.2525864244259399
10,023c4df2d451409881d8e6ea82f14704,refined,16384,23518,0.6854170560836792,0.3939898908138275,1.7855148434638988,2.14106410741806,1.3478559255599976,0.6828786134719849,4.714375972747803,4.75117564201355,0.2671631370723761
11,c235638ed66145988d17f9d0601923f2,depth_pro,14867,23908,0.830730140209198,0.5678966641426086,1.8627486467361445,2.3844975948333733,1.2916431427001953,0.6947047710418701,3.9856202602386475,3.9958486557006836,0.26083815028901736
11,c235638ed66145988d17f9d0601923f2,refined,16815,23908,0.734912097454071,0.46145549416542053,1.7507617950439456,2.1500461101531982,1.1685115098953247,0.642372727394104,3.7288743019104005,3.7314932346343994,0.25902004454342986
12,bc3c8a953f6b4dcdb77b521d89f3d9d5,depth_pro,13744,24225,0.9161988496780396,0.5737447738647461,2.1611034631729127,2.807904100418085,1.2769408226013184,0.7558857202529907,3.265080451965332,3.2721455097198486,0.24252324704699674
