pair_index,source_token,target_token,dt_s,method,region,num_source_points,num_target_points,fitness,rmse,estimated_translation_m,estimated_rotation_deg,translation_error_m,rotation_error_deg,global_fitness,global_rmse
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,icp_direct,all,34688,34720,0.8782949239343275,0.5504155153558279,4.49602531627144,0.3866442163461377,0.05049793641686811,0.3155791114684474,,
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,global_then_icp,all,34688,34720,0.8782949239343275,0.5504155140262906,4.496025348602892,0.3866441816531011,0.05049794259222374,0.3155792223285706,0.8986579019446727,0.8457054571722471
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,icp_direct,front,12471,12650,0.8927231807951987,0.6371374759540069,1.858595608832681,0.4525876640961605,2.6706853340297503,0.49022246693582555,,
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,global_then_icp,front,12471,12650,0.8049512378094523,0.5746272784694512,3.6744432874064255,0.32520408078569535,0.8381134762361419,0.4233543624725322,0.8838028169014085,0.896983648126368
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,icp_direct,near,15453,15718,0.992992992992993,0.3399930360972937,0.24906276045873482,5.199621950827458,4.404332061402614,4.869195539569993,,
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,global_then_icp,near,15453,15718,0.6696696696696697,0.6627318538544649,5.63582412137579,38.34380035681831,7.275897187265661,38.67604049285968,1.0,0.6564946869468076
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,icp_direct,mid,4879,4945,0.8922955974842768,0.5864662501955769,0.5051630209208638,1.4017530176098472,4.290703976142211,1.2241416775348872,,
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,global_then_icp,mid,4879,4945,0.8930817610062893,0.5882823790964482,0.5039864216607843,1.405420397529346,4.294477587083279,1.2266020475602208,0.9036777583187391,0.9208441303337389
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,icp_direct,far,1660,1495,0.5845303867403315,0.7956159751249547,1.2459415407167196,0.37724120396821587,3.273555900158667,0.3639884682009971,,
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,global_then_icp,far,1660,1495,0.6209944751381216,0.6440284656815818,4.265494596741897,0.6064275221002656,0.260598479301214,0.26929451315593766,0.7,1.071151091964808
