pair_index,source_token,target_token,dt_s,region,num_source_points,num_target_points,mean_nn_m,median_nn_m,p90_nn_m,overlap_ratio_0p5m,overlap_ratio_1p0m
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,all,14477,14184,0.9467871189117432,0.5429620742797852,2.1408012866973873,0.4708848518339435,0.6948262761621883
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,front,4639,6671,0.6486719250679016,0.3811526596546173,1.5724255561828604,0.59215348135374,0.7973701228713085
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,near,5731,7352,0.5222530364990234,0.28335249423980713,1.4506357908248901,0.7070319316000698,0.8459256674227883
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,mid,6298,5077,0.8723483085632324,0.6766712665557861,1.8770231127738952,0.3644013972689743,0.6808510638297872
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,far,2448,1755,2.2384796142578125,1.578676700592041,5.5582082271575945,0.17933006535947713,0.36764705882352944
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,left,7698,7493,1.007365345954895,0.5578404664993286,2.107512903213501,0.46492595479345283,0.6871914783060535
0,ca9a282c9e77460f8360f564131a8af5,39586f9d59004284a7114a68825e8eec,0.4998960494995117,right,6779,6691,0.88344806432724,0.5327713489532471,2.223407363891601,0.4772090278802183,0.701725918277032
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,all,14433,13236,0.7849876284599304,0.439214289188385,2.05376992225647,0.5463174669160951,0.7482158941315042
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,front,4514,6419,0.748450756072998,0.34183400869369507,2.06739935874939,0.6038989809481613,0.7769162605228179
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,near,6660,6805,0.48481282591819763,0.23745229840278625,1.1298829913139348,0.7548048048048048,0.8908408408408408
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,mid,5685,4145,0.9871839284896851,0.6540120244026184,2.406832695007325,0.4019349164467898,0.6508355321020228
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,far,2088,2286,2.3058881759643555,0.901875913143158,3.3164593219757044,0.26676245210727967,0.5493295019157088
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,left,7676,6404,0.8597506880760193,0.3931084871292114,2.516138792037964,0.5844189682126107,0.720166753517457
1,39586f9d59004284a7114a68825e8eec,356d81f38dd9473ba590f39e266f54e5,0.5502011775970459,right,6757,6832,0.7079089283943176,0.4966120719909668,1.5219475507736206,0.5019979280745893,0.777564007695723
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,all,13450,12565,1.2693668603897095,0.548066258430481,3.8061715126037616,0.4754646840148699,0.6572490706319702
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,front,3579,4659,0.7011010646820068,0.30886468291282654,1.8878347396850588,0.6898575020955574,0.8206202849958089
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,near,6515,6866,0.5176767706871033,0.2800965905189514,1.3035411596298219,0.7122026093630084,0.8675364543361473
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,mid,4328,3387,2.559502363204956,1.0866436958312988,7.027820920944216,0.30730129390018485,0.47966728280961185
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,far,2607,2312,1.7940282821655273,1.1858152151107788,3.7817464351654064,0.16072113540467972,0.4169543536632144
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,left,6534,5014,1.854081153869629,0.835162878036499,5.476631927490234,0.37771655953474137,0.5466789103152739
2,356d81f38dd9473ba590f39e266f54e5,e0845f5322254dafadbbed75aaa07969,0.49930477142333984,right,6916,7551,0.7402551770210266,0.4077177345752716,1.724651038646698,0.5672353961827646,0.7612781954887218
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,all,12627,11538,0.6326625943183899,0.4215284287929535,1.4141791582107544,0.5660093450542488,0.812544547398432
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,front,3249,4751,0.7398649454116821,0.43659910559654236,1.903691816329956,0.5574022776238843,0.7820867959372114
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,near,6118,6228,0.44957342743873596,0.27736014127731323,0.8594519674777991,0.7477933965348152,0.9187643020594966
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,mid,4155,3337,0.6941356658935547,0.5348772406578064,1.3849671125411986,0.47388688327316486,0.7600481347773766
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,far,2354,1973,1.1025859117507935,0.8303425312042236,2.2230040073394783,0.2374681393372982,0.6096006796941377
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,left,5097,4209,0.6771727800369263,0.5032289624214172,1.4112720966339116,0.49715518932705516,0.788306847164999
3,e0845f5322254dafadbbed75aaa07969,c923fe08b2ff4e27975d2bf30934383b,0.5004441738128662,right,7530,7329,0.6083052158355713,0.3770965337753296,1.4243329405784617,0.6122177954847278,0.8280212483399735
